Year,Model Name,Link
1968,Beatnik Bandit,/wiki/Beatnik_Bandit
1968,Collector's Button,/wiki/Collector%27s_Button
1968,Custom Barracuda (1968),/wiki/Custom_Barracuda_(1968)
1968,Custom Camaro,/wiki/Custom_Camaro
1968,Custom Corvette,/wiki/Custom_Corvette
1968,Custom Cougar (1968),/wiki/Custom_Cougar_(1968)
1968,Custom Eldorado,/wiki/Custom_Eldorado
1968,Custom Firebird,/wiki/Custom_Firebird
1968,Custom Fleetside,/wiki/Custom_Fleetside
1968,Custom Mustang,/wiki/Custom_Mustang
1968,Custom T-Bird,/wiki/Custom_T-Bird
1968,Custom Volkswagen,/wiki/Custom_Volkswagen
1968,Deora,/wiki/Deora
1968,Ford J-Car,/wiki/Ford_J-Car
1968,Half Curve,/wiki/Half_Curve
1968,Hot Heap,/wiki/Hot_Heap
1968,List of 1968 Hot Wheels,/wiki/List_of_1968_Hot_Wheels
1968,List of 1968 Hot Wheels new castings,/wiki/List_of_1968_Hot_Wheels_new_castings
1968,Python,/wiki/Python
1968,Silhouette,/wiki/Silhouette
1969,List of 1969 Hot Wheels,/wiki/List_of_1969_Hot_Wheels
1969,Automatic Lap Counter,/wiki/Automatic_Lap_Counter
1969,Brabham Repco F1,/wiki/Brabham_Repco_F1
1969,Chaparral 2G,/wiki/Chaparral_2G
1969,Classic '31 Ford Woody,/wiki/Classic_%2731_Ford_Woody
1969,Classic '32 Ford Vicky,/wiki/Classic_%2732_Ford_Vicky
1969,Classic '36 Ford Coupe,/wiki/Classic_%2736_Ford_Coupe
1969,Classic '57 T-Bird,/wiki/Classic_%2757_T-Bird
1969,Collector's Button,/wiki/Collector%27s_Button
1969,Custom AMX,/wiki/Custom_AMX
1969,Custom Charger,/wiki/Custom_Charger
1969,Custom Continental Mark III,/wiki/Custom_Continental_Mark_III
1969,Custom Police Cruiser,/wiki/Custom_Police_Cruiser
1969,Eagle Mark II Ford,/wiki/Eagle_Mark_II_Ford
1969,Ford Mark IV,/wiki/Ford_Mark_IV
1969,Gerhardt '67,/wiki/Gerhardt_%2767
1969,Grand Prix,/wiki/Grand_Prix
1969,Category:Grand Prix,/wiki/Category:Grand_Prix
1969,Gurney Eagle '68,/wiki/Gurney_Eagle_%2768
1969,Huffaker Offenhauser,/wiki/Huffaker_Offenhauser
1969,Indy Eagle,/wiki/Indy_Eagle
1969,List of 1969 Hot Wheels new castings,/wiki/List_of_1969_Hot_Wheels_new_castings
1969,Lola GT70,/wiki/Lola_GT70
1969,Lotus Turbine,/wiki/Lotus_Turbine
1969,Maserati Mistral,/wiki/Maserati_Mistral
1969,McLaren M1a,/wiki/McLaren_M1a
1969,McLaren M6A,/wiki/McLaren_M6A
1969,Mercedes-Benz 280SL,/wiki/Mercedes-Benz_280SL
1969,Rolls-Royce Silver Shadow,/wiki/Rolls-Royce_Silver_Shadow
1969,Shelby Turbine,/wiki/Shelby_Turbine
1969,Splittin' Image,/wiki/Splittin%27_Image
1969,The Original Hot Wheels Soundtrack,/wiki/The_Original_Hot_Wheels_Soundtrack
1969,Torero,/wiki/Torero
1969,Turbofire,/wiki/Turbofire
1969,Twin Engine Porsche,/wiki/Twin_Engine_Porsche
1969,Twin Mill,/wiki/Twin_Mill
1969,Volkswagen Beach Bomb,/wiki/Volkswagen_Beach_Bomb
1970,List of 1970 Hot Wheels,/wiki/List_of_1970_Hot_Wheels
1970,Abarth 3000 SP,/wiki/Abarth_3000_SP
1970,Abarth 695 esseesse,/wiki/Abarth_695_esseesse
1970,Alfa Romeo 33-3,/wiki/Alfa_Romeo_33-3
1970,Ambulance (1970),/wiki/Ambulance_(1970)
1970,Angeleno M70,/wiki/Angeleno_M70
1970,Bridge 3-Pak,/wiki/Bridge_3-Pak
1970,Carabo,/wiki/Carabo
1970,Cement Mixer,/wiki/Cement_Mixer
1970,Chaparral (Gran Toros),/wiki/Chaparral_(Gran_Toros)
1970,Chevrolet Astro II,/wiki/Chevrolet_Astro_II
1970,Classic Nomad,/wiki/Classic_Nomad
1970,Collector's Button,/wiki/Collector%27s_Button
1970,Custom Fleetside,/wiki/Custom_Fleetside
1970,Custom Police Cruiser,/wiki/Custom_Police_Cruiser
1970,Deora,/wiki/Deora
1970,Dump Truck,/wiki/Dump_Truck
1970,Earthshakers,/wiki/Earthshakers
1970,Ferrari 312P,/wiki/Ferrari_312P
1970,Ferrari 512S Pininfarina,/wiki/Ferrari_512S_Pininfarina
1970,Ferrari Can-Am (Gran Toros),/wiki/Ferrari_Can-Am_(Gran_Toros)
1970,Ferrari P4 (Gran Toros),/wiki/Ferrari_P4_(Gran_Toros)
1970,Ferrari P4 (Sizzlers),/wiki/Ferrari_P4_(Sizzlers)
1970,Fire Engine,/wiki/Fire_Engine
1970,Firebird Trans-Am,/wiki/Firebird_Trans-Am
1970,Ford Mark II,/wiki/Ford_Mark_II
1970,Ford Mk IV,/wiki/Ford_Mk_IV
1970,Ford Mustang Boss 302,/wiki/Ford_Mustang_Boss_302
1970,Gran Toros,/wiki/Gran_Toros
1970,Category:Gran Toros,/wiki/Category:Gran_Toros
1970,Grand Prix,/wiki/Grand_Prix
1970,Category:Grand Prix,/wiki/Category:Grand_Prix
1970,Great Getaway,/wiki/Great_Getaway
1970,Ground Hog,/wiki/Ground_Hog
1970,Heavy Chevy,/wiki/Heavy_Chevy
1970,Heavyweights,/wiki/Heavyweights
1970,Category:Heavyweights,/wiki/Category:Heavyweights
1970,Hot Head,/wiki/Hot_Head
1970,Hot Wheels Factory,/wiki/Hot_Wheels_Factory
1970,Jack Rabbit Special,/wiki/Jack_Rabbit_Special
1970,Juice Machine,/wiki/Juice_Machine
1970,King Kuda,/wiki/King_Kuda
1970,Laguna Oval Set,/wiki/Laguna_Oval_Set
1970,Lamborghini Miura P400,/wiki/Lamborghini_Miura_P400
1970,Light My Firebird,/wiki/Light_My_Firebird
1970,List of 1970 Hot Wheels new castings,/wiki/List_of_1970_Hot_Wheels_new_castings
1970,Lotus Europa,/wiki/Lotus_Europa
1970,Mantis,/wiki/Mantis
1970,Mantis (Gran Toros),/wiki/Mantis_(Gran_Toros)
1970,Mercedes C111,/wiki/Mercedes_C111
1970,Mighty Maverick,/wiki/Mighty_Maverick
1970,Mod Quad,/wiki/Mod_Quad
1970,Mongoose,/wiki/Mongoose
1970,Moving Van,/wiki/Moving_Van
1970,Mustang Boss 302,/wiki/Mustang_Boss_302
1970,Nitty Gritty Kitty,/wiki/Nitty_Gritty_Kitty
1970,Paddy Wagon,/wiki/Paddy_Wagon
1970,Peeping Bomb,/wiki/Peeping_Bomb
1970,Porsche 917,/wiki/Porsche_917
1970,Porsche 917 (Gran Toros),/wiki/Porsche_917_(Gran_Toros)
1970,Porsche Carrera 10 (Gran Toros),/wiki/Porsche_Carrera_10_(Gran_Toros)
1970,Porsche Carrera 10 (Sizzlers),/wiki/Porsche_Carrera_10_(Sizzlers)
1970,Power Pad,/wiki/Power_Pad
1970,Power Pit,/wiki/Power_Pit
1970,Red Baron,/wiki/Red_Baron
1970,Revvin' Heaven,/wiki/Revvin%27_Heaven
1970,Sand Crab,/wiki/Sand_Crab
1970,Seasider,/wiki/Seasider
1970,Silhouette (Gran Toros),/wiki/Silhouette_(Gran_Toros)
1970,Sizzlers,/wiki/Sizzlers
1970,Category:Sizzlers,/wiki/Category:Sizzlers
1970,Snake,/wiki/Snake
1970,Swingin' Wing,/wiki/Swingin%27_Wing
1970,T'rantula Dragster,/wiki/T%27rantula_Dragster
1970,The Demon,/wiki/The_Demon
1970,TNT-Bird,/wiki/TNT-Bird
1970,Torpedo Dragster,/wiki/Torpedo_Dragster
1970,Tow Truck,/wiki/Tow_Truck
1970,Toyota 2000GT (Gran Toros),/wiki/Toyota_2000GT_(Gran_Toros)
1970,Track sets,/wiki/Track_sets
1970,Tri Baby,/wiki/Tri_Baby
1970,Twin Mill (Gran Toros),/wiki/Twin_Mill_(Gran_Toros)
1970,Whip Creamer,/wiki/Whip_Creamer
1971,List of 1971 Hot Wheels,/wiki/List_of_1971_Hot_Wheels
1971,Category:1971 First Released,/wiki/Category:1971_First_Released
1971,3-Squealer (1971),/wiki/3-Squealer_(1971)
1971,AMX/2,/wiki/AMX/2
1971,Anteater,/wiki/Anteater
1971,Back Fire,/wiki/Back_Fire
1971,"Big ""O"" Race Set",/wiki/Big_%22O%22_Race_Set
1971,Boss Hoss,/wiki/Boss_Hoss
1971,Bugeye,/wiki/Bugeye
1971,Bye-Focal,/wiki/Bye-Focal
1971,Camaro Trans-Am,/wiki/Camaro_Trans-Am
1971,"Chaparral ""2J""",/wiki/Chaparral_%222J%22
1971,Classic Cord,/wiki/Classic_Cord
1971,Cockney Cab,/wiki/Cockney_Cab
1971,Collector's Button,/wiki/Collector%27s_Button
1971,Crew Car,/wiki/Crew_Car
1971,'Cuda Trans-Am,/wiki/%27Cuda_Trans-Am
1971,Drag Chute Stunt Set,/wiki/Drag_Chute_Stunt_Set
1971,Earthshakers,/wiki/Earthshakers
1971,Evil Weevil,/wiki/Evil_Weevil
1971,Ferrari Can-Am,/wiki/Ferrari_Can-Am
1971,Folks Wagon,/wiki/Folks_Wagon
1971,Ford-Pantera De Tomaso,/wiki/Ford-Pantera_De_Tomaso
1971,Freight Crate,/wiki/Freight_Crate
1971,Fuel Tanker,/wiki/Fuel_Tanker
1971,Gran Toros,/wiki/Gran_Toros
1971,Grass Hopper,/wiki/Grass_Hopper
1971,Hairy Hauler,/wiki/Hairy_Hauler
1971,Heavyweights,/wiki/Heavyweights
1971,Category:Heavyweights,/wiki/Category:Heavyweights
1971,High-Tailer,/wiki/High-Tailer
1971,Category:Hot Birds,/wiki/Category:Hot_Birds
1971,Hot Birds,/wiki/Hot_Birds
1971,Category:Hot Line,/wiki/Category:Hot_Line
1971,Hot Line,/wiki/Hot_Line
1971,Hot Wings,/wiki/Hot_Wings
1971,Ice 'T',/wiki/Ice_%27T%27
1971,Indy Eagle (Sizzlers),/wiki/Indy_Eagle_(Sizzlers)
1971,Jet Threat,/wiki/Jet_Threat
