Year,Model Name,Series,Color,Window Color,Interior Color,Country
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Light Blue,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Blue,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Aqua,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Turquoise,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Green,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Olive,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Lime,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Antifreeze,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Yellow,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Gold,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Orange,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Copper,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Brown,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Red,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Rose,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Magenta,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Creamy 'Lavender' Pink,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Hot Pink,Clear,White,USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Purple,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Blue,Tinted (Blue),"White, Gray or Dark Brown",Hong Kong
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Aqua,Tinted (Blue),"White, Gray or Dark Brown",Hong Kong
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Green,Tinted (Blue),"White, Gray or Dark Brown",Hong Kong
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Olive,Tinted (Blue),"White, Gray or Dark Brown",Hong Kong
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Orange,Tinted (Blue),"White, Gray or Dark Brown",Hong Kong
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Copper,Tinted (Blue),"White, Gray or Dark Brown",Hong Kong
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Red,Tinted (Blue),"White, Gray or Dark Brown",Hong Kong
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Creamy 'Lavender' Pink,Tinted (Blue),"White, Gray or Dark Brown",Hong Kong
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Purple,Tinted (Blue),"White, Gray or Dark Brown",Hong Kong
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Light Blue,Clear,Several,USA
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Blue,Clear,Several,USA
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Aqua,Clear,Several,USA
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Green,Clear,Several,USA
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Olive Green,Clear,Several,USA
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Antifreeze,Clear,Several,USA
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Gold,Clear,Several,USA
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Copper,Clear,Several,USA
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Red,Clear,Several,USA
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Rose,Clear,Several,USA
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Creamy 'Lavender' Pink,Clear,Several,USA
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Purple,Clear,Several,USA
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Light Blue,Tinted (Blue),Several,Hong Kong
